Drug Name,Chemical Compound,Usage,Dosage,Side Effects,Manufacturer,SMILES,MolWt,LogP,NumHAcceptors,NumHDonors,Side Effects Encoded
DengueDrug1,C100H200N10O5,Antiviral,116 mg/day,"Dizziness, fatigue, headache",PharmaCompany0,CNCCSC(=Nc1n(C)cnc1)N(C)C,241.364,0.9217999999999997,5.0,1.0,3
DengueDrug2,C101H201N11O6,Antiviral,165 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany1,Fc1c(CSc2nc3c(c(=O)[nH]2)=CC(OC)=C(OC)NC=3)cccc1,361.398,0.7848999999999997,6.0,2.0,0
DengueDrug3,C102H202N12O7,Antiviral,56 mg/day,"Dizziness, fatigue, headache",PharmaCompany2,C(=Nc1n(C)cnc1)(N(C)C)SCCNC,241.36399999999998,0.9217999999999997,5.0,1.0,3
DengueDrug4,C103H203N13O8,Antiviral,58 mg/day,"Photosensitivity, stomach upset",PharmaCompany3,C1(=C(O)N(C2C(C(C(C(C)C2C)O)O)O)C2C(=O)CN1C(C2C)=O)c1ccccc1,416.47400000000016,0.33940000000000037,7.0,4.0,5
DengueDrug5,C104H204N14O9,Antiviral,56 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany4,c1cc(ncc1Cl)C(c1ccccc1)CCN(C)C,274.795,3.8186000000000027,2.0,0.0,7
DengueDrug6,C105H205N15O10,Antiviral,134 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany0,N1C(C(C(C2C(=O)N(C)C(=O)C(CSc3n(nnn3)CC(O)=O)C=21)C)N)=O,395.4010000000002,-2.188099999999997,10.0,3.0,2
DengueDrug7,C106H206N16O11,Antiviral,88 mg/day,"Vision problems, heart issues",PharmaCompany1,c1cc(ccc1C(CNC(C)C)O)Nc1ncccc1,271.36400000000003,2.856600000000001,4.0,3.0,8
DengueDrug8,C107H207N17O12,Antiviral,139 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany2,[Na+].c1ccc(C(c2ccccc2C(C)C(=O)[O-])C)cc1,276.311,-0.30419999999999936,2.0,0.0,7
DengueDrug9,C108H208N18O13,Antiviral,111 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany3,c1(nnnn1CC(=O)O)SCC1C2NC(C(N)C(C=2C(=O)N(C)C1=O)C)=O,395.4010000000002,-2.188099999999997,10.0,3.0,2
DengueDrug10,C109H209N19O14,Antiviral,111 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany4,c1(c(O)c(O)cc(c1O)[C@H]1O[C@@H](C)[C@@H](CC)[C@H](O)[C@H](O[C@H]2[C@H](O)[C@H](O[C@H](O)C2)N(C)C)C1)O,473.5190000000002,0.4870999999999987,11.0,7.0,1
DengueDrug11,C110H210N20O15,Antiviral,58 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany0,C(c1ccccc1)(C)c1c(cccc1)C(C(=O)[O-])C.[Na+],276.311,-0.30419999999999936,2.0,0.0,7
DengueDrug12,C111H211N21O16,Antiviral,178 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany1,[Na+].c1cc(C(C)c2ccccc2C(C([O-])=O)C)ccc1,276.311,-0.30419999999999936,2.0,0.0,7
DengueDrug13,C112H212N22O17,Antiviral,195 mg/day,"Photosensitivity, stomach upset",PharmaCompany2,CC1C(C(C(O)C(C1N1C(=C(N2CC(=O)C1C(C2=O)C)c1ccccc1)O)O)O)C,416.4740000000001,0.3393999999999996,7.0,4.0,5
DengueDrug14,C113H213N23O18,Antiviral,76 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany3,[C@@H]1(O)C[C@H]([C@H](O)[C@@H](N(C)C)O1)O[C@@H]1C[C@@H](c2cc(c(c(O)c2O)O)O)O[C@H]([C@H]([C@@H]1O)CC)C,473.5190000000002,0.4870999999999997,11.0,7.0,1
DengueDrug15,C114H214N24O19,Antiviral,132 mg/day,"Photosensitivity, stomach upset",PharmaCompany4,C1(O)C(C)C(C)C(N2C3C(C)C(=O)N(CC3=O)C(=C2O)c2ccccc2)C(O)C1O,416.47400000000005,0.3393999999999993,7.0,4.0,5
DengueDrug16,C115H215N25O20,Antiviral,153 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany0,C([C@H]1[C@H](O)[C@@H](C[C@H](O[C@H]1C)c1cc(c(O)c(O)c1O)O)O[C@H]1[C@H](O)[C@@H](N(C)C)O[C@H](O)C1)C,473.5190000000002,0.48709999999999926,11.0,7.0,1
DengueDrug17,C116H216N26O21,Antiviral,53 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany1,n1c(SCC2C3NC(C(C(C)C=3C(N(C2=O)C)=O)N)=O)n(nn1)CC(O)=O,395.4010000000002,-2.188099999999997,10.0,3.0,2
DengueDrug18,C117H217N27O22,Antiviral,61 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany2,[Na+].[O-]C(C(C)c1c(cccc1)C(C)c1ccccc1)=O,276.31100000000004,-0.30419999999999847,2.0,0.0,7
DengueDrug19,C118H218N28O23,Antiviral,82 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany3,O[C@@H]1[C@@H](N(C)C)O[C@H](O)C[C@H]1O[C@@H]1C[C@@H](c2cc(O)c(c(O)c2O)O)O[C@@H](C)[C@@H](CC)[C@@H]1O,473.5190000000002,0.48710000000000014,11.0,7.0,1
DengueDrug20,C119H219N29O24,Antiviral,140 mg/day,"Dizziness, fatigue, headache",PharmaCompany4,N(C)(C(=Nc1n(cnc1)C)SCCNC)C,241.36399999999998,0.9218,5.0,1.0,3
DengueDrug21,C120H220N30O25,Antiviral,192 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany0,n1nnn(CC(O)=O)c1SCC1C(N(C(C2=C1NC(C(N)C2C)=O)=O)C)=O,395.4010000000001,-2.188099999999996,10.0,3.0,2
DengueDrug22,C121H221N31O26,Antiviral,66 mg/day,"Photosensitivity, stomach upset",PharmaCompany1,c1c(cccc1)C1=C(O)N(C2C(=O)CN1C(C2C)=O)C1C(C)C(C)C(O)C(O)C1O,416.47400000000005,0.33939999999999954,7.0,4.0,5
DengueDrug23,C122H222N32O27,Antiviral,114 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany2,NC1C(=O)NC2=C(C(N(C)C(=O)C2CSc2n(nnn2)CC(=O)O)=O)C1C,395.4010000000001,-2.188099999999997,10.0,3.0,2
DengueDrug24,C123H223N33O28,Antiviral,85 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany3,c1c(Cl)ccc(n1)C(c1ccccc1)CCN(C)C,274.795,3.8186000000000027,2.0,0.0,7
DengueDrug25,C124H224N34O29,Antiviral,159 mg/day,"Photosensitivity, stomach upset",PharmaCompany4,C1(C(C(O)C(C(C)C1C)N1C(=C(N2C(=O)C(C)C1C(C2)=O)c1ccccc1)O)O)O,416.4740000000001,0.33939999999999976,7.0,4.0,5
DengueDrug26,C125H225N35O30,Antiviral,60 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany0,c1(F)ccccc1CSc1[nH]c(c2=CC(=C(NC=c2n1)OC)OC)=O,361.39800000000014,0.7849,6.0,2.0,0
DengueDrug27,C126H226N36O31,Antiviral,98 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany1,C(Cc1ccc(cc1)C(C(=O)O)C)(C)C,206.28499999999997,3.0732000000000017,1.0,1.0,6
DengueDrug28,C127H227N37O32,Antiviral,191 mg/day,"Vision problems, heart issues",PharmaCompany2,c1nc(Nc2ccc(cc2)C(CNC(C)C)O)ccc1,271.364,2.856600000000001,4.0,3.0,8
DengueDrug29,C128H228N38O33,Antiviral,155 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany3,Oc1cc([C@@H]2C[C@H]([C@H]([C@@H]([C@@H](O2)C)CC)O)O[C@H]2[C@H](O)[C@H](O[C@@H](C2)O)N(C)C)c(c(c1O)O)O,473.5190000000002,0.4870999999999995,11.0,7.0,1
DengueDrug30,C129H229N39O34,Antiviral,198 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany4,S(CC1C(N(C)C(=O)C2C(C(N)C(=O)NC1=2)C)=O)c1nnnn1CC(=O)O,395.4010000000002,-2.188099999999997,10.0,3.0,2
DengueDrug31,C130H230N40O35,Antiviral,68 mg/day,"Photosensitivity, stomach upset",PharmaCompany0,c1ccc(cc1)C1=C(N(C2C(C(C)C(C(O)C2O)O)C)C2C(C)C(=O)N1CC2=O)O,416.4740000000002,0.33939999999999987,7.0,4.0,5
