SMILES,Predicted Side Effects,Severity,Severity Score
[Na+].c1c(C(c2c(cccc2)C(C)C(=O)[O-])C)cccc1,"dizziness, headache, stomach irritation, kidney damage, bleeding",Not Severe,0.1625
[Na+].c1cc(c(cc1)C(C)C([O-])=O)C(c1ccccc1)C,"headache, dizziness, diarrhea, itching, nausea",Not Severe,0.1398
c1c(ccc(C(CCN(C)C)c2ccccc2)n1)Cl,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.2342
C(C)(c1ccccc1C(C(=O)[O-])C)c1ccccc1.[Na+],"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.145
N(C)(C)C(NC(=N)N)=N,"diarrhea, rash, bloating, gas, belly pain",Not Severe,0.0983
[C@H]1(O)CCC(/C(=C\C=C2/CCC[C@]3(C)[C@H](CC[C@@H]23)[C@@H](CCCC(C)C)C)C1)=C,"diarrhea, nausea, stomach pain, itching, dizziness",Not Severe,0.1257
C1[C@@H]([C@@H](O)[C@H](C)O[C@H]1O[C@H]1[C@@H](O[C@@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@H](OC([C@H]4[C@]5(O)/C(CO[C@@H]5[C@@H](C(C)=C4)O)=C/C=C/[C@@H]2C)=O)C[C@]2(O3)O[C@@H]([C@@H](C)CC2)[C@@H](C)CC)C[C@@H]1OC)C)OC.O([C@H]1[C@@H](C)/C=C/C=C2\CO[C@H]3[C@@]2([C@H](C(O[C@H]2C[C@@H](C/C=C/1C)O[C@]1(C2)CC[C@H](C)[C@@H](C(C)C)O1)=O)C=C(C)[C@H]3O)O)[C@@H]1O[C@H]([C@@H]([C@@H](OC)C1)O[C@@H]1O[C@H]([C@@H]([C@H](C1)OC)O)C)C,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1292
C(C)(NCC(O)c1ccc(Nc2ncccc2)cc1)C,"dizziness, stomach irritation, kidney damage, bleeding, skin irritation",Not Severe,0.1282
c1c(cc(O)c(c1OC)C(C=Cc1ccccc1)=O)O,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1017
c1(c2c(nc([nH]1)SCc1ccccc1F)=CNC(OC)=C(OC)C=2)=O,"dizziness, headache, nausea, diarrhea, cough",Not Severe,0.1055
c1c2c(C(c3c(C(C2)=O)scc3)=C2CCN(CC2)C)ccc1,"dizziness, drowsiness, dry mouth, stomach pain, heartburn",Not Severe,0.1194
O(C1C(C(O)C(C(O1)CO)O)OC1OC(C)C(C(C1O)O)O)c1cc(c2C(=O)CC(c3ccc(O)cc3)Oc2c1)O,"dizziness, headache, diarrhea, stomach pain, heartburn",Not Severe,0.0955
N=C(NC(N)=N)N(C)C,"headache, diarrhea, dizziness, bloating, gas",Not Severe,0.0824
c1(ccc(-n2c3c(nc2C)cncc3)cc1)C1NC(=C(C(Nc2ccccn2)=O)[C@@H](c2ccccc2Cl)C=1C(=O)OCC)C,"headache, vomiting, nausea, diarrhea, dizziness",Not Severe,0.117
OC(CC1(CC1)CS[C@@H](c1cccc(c1)/C=C/c1nc2cc(ccc2cc1)Cl)CCc1ccccc1C(O)(C)C)=O,"headache, diarrhea, nausea, vomiting, itching",Not Severe,0.1735
c1cc(cc2c1c(NC(C)CCCN(CC)CC)ccn2)Cl,"fatigue, headache, constipation, stomach irritation, kidney damage",Not Severe,0.1548
c1(NC(/C=C(C)/C=C/C=C(/C=C/C2C(C)(CCCC=2C)C)C)=O)ccc(O)cc1,"headache, diarrhea, skin rash, dizziness, vomiting",Not Severe,0.0875
C1[C@@H]2C[C@@H](C/C=C(/[C@H]([C@@H](C)/C=C/C=C3\CO[C@H]4[C@@]3([C@H](C(=O)O2)C=C(C)[C@H]4O)O)O[C@@H]2O[C@H]([C@@H]([C@H](C2)OC)O[C@H]2C[C@@H]([C@H]([C@@H](O2)C)O)OC)C)C)O[C@]12O[C@H](C(C)C)[C@@H](C)CC2.O([C@@H]1[C@@H](OC)C[C@H](O[C@@H]2/C(=C/C[C@H]3O[C@@]4(C[C@H](C3)OC([C@H]3[C@@]5(/C(=C/C=C/[C@@H]2C)CO[C@@H]5[C@@H](C(C)=C3)O)O)=O)O[C@@H]([C@H](CC4)C)[C@@H](C)CC)C)O[C@H]1C)[C@H]1C[C@@H]([C@@H](O)[C@@H](O1)C)OC,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1352
c1n([C@H]2[C@H](O)[C@H](O)[C@H](O2)CO)nc(C(=O)N)n1,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.164
c1(O)c(O)cc(c(c1O)O)[C@@H]1C[C@@H](O[C@H]2[C@H](O)[C@H](O[C@H](O)C2)N(C)C)[C@@H](O)[C@@H]([C@@H](O1)C)CC,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1583
N([C@@H]1[C@@H](N=C(N)N)C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)C(C)=O,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.0893
C(C1OC(Oc2cc(O)c3C(CC(c4ccc(O)cc4)Oc3c2)=O)C(C(O)C1O)OC1C(O)C(C(C(C)O1)O)O)O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.0933
Oc1cc(cc(c1O)O)-c1oc2cc(cc(c2c(=O)c1O)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1675
